Date,Time,Open,High,Low,Close,Volume
2021-12-1,0:0,82535.0,82986.0,82535.0,82986.0,4.0
2021-11-30,0:0,83475.0,83475.0,83000.0,83296.0,8.0
2021-11-29,0:0,83176.0,83176.0,83176.0,83176.0,1.0
2021-11-26,0:0,83387.0,84225.0,83387.0,83601.0,14.0
2021-11-25,0:0,83020.0,83500.0,82910.0,82910.0,14.0
2021-11-24,0:0,83300.0,83339.0,83300.0,83339.0,2.0
2021-11-23,0:0,83534.0,83664.0,83059.0,83321.0,19.0
2021-11-22,0:0,82650.0,85275.0,82521.0,83943.0,45.0
2021-11-17,0:0,82050.0,82050.0,81650.0,81650.0,13.0
2021-11-16,0:0,81550.0,82300.0,81500.0,82300.0,29.0
2021-11-15,0:0,81500.0,81864.0,81351.0,81600.0,55.0
2021-11-12,0:0,80720.0,82003.0,80093.0,82003.0,9.0
2021-11-3,0:0,80578.0,81200.0,80578.0,81200.0,6.0
2021-11-2,0:0,81213.0,81500.0,81213.0,81500.0,3.0
2021-11-1,0:0,80900.0,80900.0,80900.0,80900.0,1.0
2021-10-27,0:0,78300.0,79883.0,78300.0,79883.0,5.0
2021-10-26,0:0,78845.0,79829.0,77559.0,78097.0,39.0
2021-10-25,0:0,78868.0,78941.0,78200.0,78200.0,8.0
2021-10-22,0:0,79250.0,79250.0,79000.0,79000.0,14.0
2021-10-21,0:0,80015.0,80015.0,80015.0,80015.0,1.0
2021-10-20,0:0,79800.0,79800.0,79800.0,79800.0,1.0
2021-10-19,0:0,79700.0,79700.0,79600.0,79600.0,15.0
2021-10-15,0:0,80110.0,80110.0,79500.0,79824.0,45.0
2021-10-14,0:0,80405.0,80451.0,80405.0,80451.0,32.0
2021-10-12,0:0,80601.0,80601.0,80600.0,80600.0,3.0
2021-10-11,0:0,80400.0,80530.0,80400.0,80530.0,3.0
2021-10-8,0:0,80468.0,80700.0,80301.0,80510.0,54.0
2021-10-7,0:0,80850.0,80850.0,80200.0,80468.0,8.0
2021-10-6,0:0,81000.0,81000.0,81000.0,81000.0,1.0
2021-10-5,0:0,81000.0,81000.0,80100.0,80100.0,6.0
2021-9-29,0:0,81000.0,81000.0,81000.0,81000.0,11.0
2021-9-28,0:0,80970.0,81201.0,80950.0,81201.0,18.0
2021-9-27,0:0,80800.0,80968.0,80800.0,80968.0,34.0
2021-9-24,0:0,81238.0,81238.0,81200.0,81200.0,2.0
2021-9-23,0:0,80851.0,80851.0,80801.0,80801.0,82.0
2021-9-22,0:0,80980.0,80980.0,80650.0,80650.0,24.0
2021-9-20,0:0,81050.0,81500.0,81034.0,81351.0,50.0
2021-9-17,0:0,80805.0,81000.0,80805.0,81000.0,64.0
2021-9-16,0:0,80760.0,81000.0,80760.0,81000.0,101.0
2021-9-15,0:0,81183.0,81206.0,81183.0,81185.0,3.0
2021-9-10,0:0,81511.0,81511.0,81511.0,81511.0,1.0
2021-9-8,0:0,82000.0,82000.0,82000.0,82000.0,1.0
2021-9-6,0:0,81671.0,81671.0,81671.0,81671.0,3.0
